extension_nm	force_f	retraction_nm	force_r
4552.961044	-5917.873726	5093.973445	40113.73772
4553.060693	-5919.90253	5093.817387	40097.50715
4553.160354	-5930.046548	5093.661343	40077.21894
4553.260025	-5930.046548	5093.505312	40050.84427
4553.359707	-5930.046548	5093.349294	40024.4696
4553.459399	-5936.132959	5093.193288	39998.09493
4553.559102	-5934.104155	5093.037296	39971.72027
4553.658816	-5936.132959	5092.881317	39941.28795
4553.758541	-5934.104155	5092.725351	39910.85565
4553.858277	-5938.161763	5092.569398	39882.45216
4553.958023	-5938.161763	5092.413457	39864.19277
4554.05778	-5940.190566	5092.25753	39843.90457
4554.157547	-5936.132959	5092.101616	39829.70282
4554.257326	-5934.104155	5091.945715	39813.47226
4554.357115	-5934.104155	5091.789827	39803.32815
4554.456915	-5932.075352	5091.633952	39793.18405
4554.556725	-5928.017744	5091.47809	39783.03995
4554.656547	-5923.960137	5091.322241	39774.92467
4554.756379	-5923.960137	5091.166405	39760.72292
4554.856222	-5919.90253	5091.010583	39746.52118
4554.956075	-5911.787315	5090.854773	39728.2618
4555.05594	-5911.787315	5090.698976	39707.97359
4555.155815	-5911.787315	5090.543192	39681.59893
4555.255701	-5909.758511	5090.387421	39661.31072
4555.355597	-5903.6721	5090.231664	39628.8496
4555.455504	-5905.700904	5090.075919	39604.50375
4555.555422	-5903.6721	5089.920187	39570.01381
4555.655351	-5903.6721	5089.764469	39545.66796
4555.755291	-5903.6721	5089.608763	39519.2933
4555.855241	-5905.700904	5089.453071	39486.83218
4555.955202	-5903.6721	5089.297391	39464.51515
4556.055174	-5907.729708	5089.141725	39438.14049
4556.155157	-5909.758511	5088.986071	39423.93875
4556.25515	-5911.787315	5088.830431	39407.70819
4556.355154	-5911.787315	5088.674803	39395.53527
4556.455169	-5909.758511	5088.519189	39381.33353
4556.555195	-5913.816119	5088.363588	39379.30471
4556.655231	-5915.844922	5088.207999	39365.10297
4556.755279	-5913.816119	5088.052424	39354.95887
4556.855337	-5915.844922	5087.896862	39342.78595
4556.955406	-5917.873726	5087.741313	39328.5842
4557.055485	-5911.787315	5087.585777	39312.35364
4557.155575	-5909.758511	5087.430254	39294.09426
4557.255677	-5909.758511	5087.274744	39273.80606
4557.355788	-5905.700904	5087.119246	39247.4314
4557.455911	-5911.787315	5086.963763	39221.05674
4557.556045	-5903.6721	5086.808292	39198.73972
4557.656189	-5907.729708	5086.652834	39170.33625
4557.756344	-5909.758511	5086.497389	39148.01923
4557.85651	-5903.6721	5086.341957	39125.70221
4557.956686	-5911.787315	5086.186538	39103.38519
4558.056874	-5913.816119	5086.031133	39089.18345
4558.157072	-5913.816119	5085.87574	39077.01053
4558.257281	-5919.90253	5085.72036	39062.80879
4558.357501	-5921.931333	5085.564994	39048.60706
4558.457731	-5925.988941	5085.40964	39036.43414
4558.557973	-5928.017744	5085.254299	39022.2324
4558.658225	-5932.075352	5085.098972	39008.03066
4558.758488	-5932.075352	5084.943658	38989.77128
4558.858762	-5932.075352	5084.788356	38973.54072
4558.959046	-5936.132959	5084.633068	38951.22371
4559.059342	-5938.161763	5084.477793	38932.96433
4559.159648	-5936.132959	5084.32253	38910.64731
4559.259965	-5934.104155	5084.167281	38890.35912
4559.360293	-5932.075352	5084.012045	38868.0421
4559.460631	-5934.104155	5083.856822	38851.81154
4559.560981	-5928.017744	5083.701612	38831.52335
4559.661341	-5923.960137	5083.546415	38811.23515
4559.761712	-5915.844922	5083.391231	38799.06224
4559.862094	-5917.873726	5083.23606	38776.74522
4559.962487	-5913.816119	5083.080902	38754.42821
4560.06289	-5909.758511	5082.925757	38734.14001
4560.163305	-5903.6721	5082.770625	38715.88064
4560.26373	-5903.6721	5082.615507	38691.5348
4560.364166	-5901.643297	5082.460401	38673.27543
4560.464613	-5897.585689	5082.305308	38652.98723
4560.56507	-5899.614493	5082.150229	38636.75668
4560.665539	-5895.556886	5081.995162	38612.41085
4560.766018	-5895.556886	5081.840109	38598.20911
4560.866508	-5897.585689	5081.685068	38581.97856
4560.967009	-5901.643297	5081.530041	38565.748
4561.067521	-5901.643297	5081.375027	38549.51745
4561.168044	-5903.6721	5081.220025	38539.37335
4561.268577	-5903.6721	5081.065037	38517.05634
4561.369122	-5907.729708	5080.910062	38502.8546
4561.469677	-5911.787315	5080.7551	38482.56641
4561.570243	-5911.787315	5080.600151	38464.30704
4561.67082	-5913.816119	5080.445215	38439.96121
4561.771408	-5919.90253	5080.290292	38415.61538
4561.872006	-5917.873726	5080.135382	38393.29837
4561.972616	-5923.960137	5079.980485	38364.8949
4562.073236	-5919.90253	5079.825601	38344.60671
4562.173867	-5921.931333	5079.670731	38312.1456
4562.274509	-5919.90253	5079.515873	38287.79977
4562.375162	-5919.90253	5079.361028	38255.33867
4562.475826	-5911.787315	5079.206197	38226.9352
4562.5765	-5915.844922	5079.051378	38196.50292
4562.677186	-5911.787315	5078.896573	38168.09945
4562.777882	-5915.844922	5078.74178	38135.63835
4562.878589	-5911.787315	5078.587001	38105.20607
4562.979307	-5907.729708	5078.432235	38074.77378
4563.080036	-5907.729708	5078.277482	38048.39914
4563.180776	-5909.758511	5078.122742	38019.99567
4563.281526	-5905.700904	5077.968015	37999.70749
4563.382288	-5903.6721	5077.813301	37979.4193
4563.48306	-5901.643297	5077.6586	37961.15993
4563.583844	-5899.614493	5077.503912	37940.87174
4563.684638	-5899.614493	5077.349237	37928.69883
4563.785443	-5895.556886	5077.194575	37912.46828
4563.886258	-5895.556886	5077.039926	37900.29537
4563.987085	-5897.585689	5076.885291	37890.15127
4564.087923	-5893.528082	5076.730668	37875.94954
4564.188771	-5895.556886	5076.576059	37863.77663
4564.289631	-5897.585689	5076.421462	37851.60372
4564.390501	-5899.614493	5076.266879	37839.43081
4564.491382	-5903.6721	5076.112308	37827.2579
4564.592274	-5909.758511	5075.957751	37813.05617
4564.693177	-5913.816119	5075.803207	37796.82562
4564.794091	-5917.873726	5075.648676	37784.65271
4564.895016	-5921.931333	5075.494158	37770.45098
4564.995952	-5921.931333	5075.339653	37750.16279
4565.096898	-5925.988941	5075.185161	37733.93224
4565.197855	-5925.988941	5075.030682	37713.64406
4565.298824	-5923.960137	5074.876216	37689.29824
4565.399803	-5925.988941	5074.721764	37664.95241
4565.500793	-5921.931333	5074.567324	37634.52014
4565.601794	-5917.873726	5074.412897	37610.17432
4565.702806	-5911.787315	5074.258484	37579.74204
4565.803829	-5913.816119	5074.104083	37557.42504
4565.904863	-5911.787315	5073.949696	37531.0504
4566.005907	-5907.729708	5073.795322	37510.76222
4566.106963	-5905.700904	5073.64096	37486.4164
4566.20803	-5903.6721	5073.486612	37468.15703
4566.309107	-5903.6721	5073.332277	37451.92648
4566.410195	-5903.6721	5073.177955	37433.66712
4566.511295	-5907.729708	5073.023646	37419.46539
4566.612405	-5909.758511	5072.86935	37403.23485
4566.713526	-5907.729708	5072.715068	37387.0043
4566.814658	-5907.729708	5072.560798	37372.80257
4566.915801	-5911.787315	5072.406541	37350.48557
4567.016955	-5909.758511	5072.252298	37332.22621
4567.118119	-5909.758511	5072.098067	37305.85157
4567.219295	-5907.729708	5071.94385	37277.44812
4567.320482	-5905.700904	5071.789645	37261.21758
4567.421679	-5909.758511	5071.635454	37236.87176
4567.522888	-5903.6721	5071.481276	37210.49712
4567.624107	-5907.729708	5071.327111	37188.18013
4567.725338	-5907.729708	5071.172959	37161.80549
4567.826579	-5907.729708	5071.01882	37143.54613
4567.927831	-5911.787315	5070.864694	37125.28677
4568.029094	-5911.787315	5070.710581	37102.96977
4568.130369	-5911.787315	5070.556481	37084.71041
4568.231654	-5915.844922	5070.402395	37072.5375
4568.33295	-5917.873726	5070.248321	37052.24932
4568.434257	-5917.873726	5070.094261	37033.98996
4568.535575	-5919.90253	5069.940213	37019.78824
4568.636903	-5917.873726	5069.786179	36999.50006
4568.738243	-5915.844922	5069.632158	36979.21188
4568.839594	-5913.816119	5069.478149	36962.98134
4568.940956	-5909.758511	5069.324154	36938.63552
4569.042328	-5905.700904	5069.170172	36918.34735
4569.143712	-5905.700904	5069.016203	36891.97271
